"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"09/19/2023","26","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","26",".","23"
"09/20/2023","29","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","29",".","24"
"09/21/2023","27","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","26","5","27"
"09/22/2023","36","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","26",".","36"
"09/23/2023","53","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","22",".","53"
"09/24/2023","65","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","26","15","65"
"09/25/2023","65","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","26",".","65"
"09/26/2023","57","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","23",".","57"
"09/27/2023","40","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","23","7","40"
"09/28/2023","64","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","31",".","64"
"09/29/2023","82","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","27",".","82"
"09/30/2023","78","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","1","38","19","78"
"10/01/2023","72","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","1","34",".","72"
"10/02/2023","55","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","32",".","55"
"10/03/2023","51","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","43","12","51"
"10/04/2023","52","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","48",".","52"
"10/05/2023","53","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","51",".","53"
"10/06/2023","40","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","40","6","29"
"10/07/2023","38","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","38",".","20"
"10/08/2023","33","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","33",".","12"
"10/09/2023","31","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","31","2","13"
"10/10/2023","34","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","34",".","23"
"10/11/2023","33","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","33",".","26"
"10/12/2023","22","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","22","3","19"
"10/13/2023","23","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","23",".","22"
"10/14/2023","23","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","21",".","23"
"10/15/2023","19","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","19","3","17"
"10/16/2023","19","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","19",".","19"
"10/17/2023","29","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","17",".","29"
"10/18/2023","30","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","30","4","24"
"10/19/2023","35","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","35",".","27"
"10/20/2023","35","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","35",".","25"
"10/21/2023","37","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","37","2","14"
"10/22/2023","17","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","17",".","7"
"10/23/2023","19","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","19",".","12"
"10/24/2023","31","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","31","3","20"
"10/25/2023","39","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","39",".","35"
"10/26/2023","52","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","41",".","52"
"10/27/2023","54","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","40","13","54"
"10/28/2023","33","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","33",".","28"
"10/29/2023","19","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","19",".","15"
"10/30/2023","25","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","25","2","17"
"10/31/2023","28","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","28",".","20"
"11/01/2023","30","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","25",".","30"
"11/02/2023","31","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","31","3","22"
"11/03/2023","42","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","42",".","32"
"11/04/2023","53","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","35",".","53"
"11/05/2023","47","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","30","7","47"
"11/06/2023","34","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","34",".","31"
"11/07/2023","45","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","37",".","45"
"11/08/2023","30","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","30","2","12"
"11/09/2023","33","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","33",".","23"
"11/10/2023","29","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","29",".","21"
"11/11/2023","31","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","31","1","14"
"11/12/2023","34","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","34",".","24"
"11/13/2023","39","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","31",".","39"
"11/14/2023","53","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","25","6","53"
"11/15/2023","39","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","28",".","39"
"11/16/2023","53","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","44",".","53"
"11/17/2023","60","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","49","13","60"
"11/18/2023","29","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","29",".","18"
"11/19/2023","29","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","29",".","18"
"11/20/2023","30","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","30","2","20"
"11/21/2023","32","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","32",".","24"
"11/22/2023","33","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","33",".","23"
"11/23/2023","27","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","27","2","22"
"11/24/2023","34","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","34",".","15"
"11/25/2023","34","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","34",".","21"
"11/26/2023","36","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","36","5","33"
"11/27/2023","34","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","34",".","17"
"11/28/2023","32","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","32",".","14"
"11/29/2023","32","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","32",".","21"
"11/30/2023","53","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","36",".","53"
"12/01/2023","57","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","38","7","57"
"12/02/2023","66","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","28","6","66"
"12/03/2023","52","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","28",".","52"
"12/04/2023","30","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","30",".","23"
"12/05/2023","31","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","31","3","28"
"12/06/2023","49","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","33",".","49"
"12/07/2023","52","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","32",".","52"
"12/08/2023","59","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","28","6","59"
"12/09/2023","56","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","36",".","56"
"12/10/2023","55","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","37",".","55"
"12/11/2023","33","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","33","0","13"
"12/12/2023","36","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","36",".","19"
"12/13/2023","38","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","38",".","16"
"12/14/2023","37","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","37","2","20"
"12/15/2023","57","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","34",".","57"
"12/16/2023","49","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","37",".","49"
"12/17/2023","39","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","39","3","32"
"12/18/2023","42","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","42",".","13"
"12/19/2023","34","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","34",".","11"
"12/20/2023","32","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","32","5","30"
"12/21/2023","33","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","33",".","16"
"12/22/2023","34","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","34",".","27"
"12/23/2023","51","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","36","9","51"
"12/24/2023","55","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","29",".","55"
"12/25/2023","59","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","33",".","59"
"12/26/2023","48","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","37","6","48"
"12/27/2023","55","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","34",".","55"
"12/28/2023","43","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","21",".","43"
"12/29/2023","22","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","18","0","22"
"12/30/2023","28","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","28",".","18"
"12/31/2023","30","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","30",".","20"
